"-- Please Select --","-- Por favor, selecione --"
"%s: %s unit(s) | decrease of %s per unit","%s: %s unidades | desconto de %s por unidade"
"%s: %s unit(s) | increase of %s per unit","%s: %s unidades | acréscimo de %s por unidade"
