6|6
7|6
8|4
9|4
10|2
11|2
12|7
14|5
15|2
17|6
18|6
19|4
20|12
21|4
22|4
23|7
24|4
26|7
27|12
28|6
29|4
30|6
31|5
32|20
33|4
34|
35|7
36|4
37|5
38|5
39|5
40|6
41|20
42|20
43|4
44|7
45|7
46|7
47|6
48|2
50|6
51|4
52|7
53|4
54|5
55|2
56|5
57|4
58|2
59|6
60|5
62|4
63|4
64|20
65|
67|7
68|2
69|4
70|1
71|6
72|6
73|6
74|7
75|5
76|6
77|7
78|5
79|4
80|6
81|2
82|5
83|1
84|1
85|4
86|6
87|5
88|5
89|6
90|20
92|5
93|5
95|5
96|5
97|6
98|6
99|6
100|5
101|6
102|2
103|4
104|6
105|5
106|7
107|2
108|
109|4
110|5
111|6
112|4
113|4
114|7
116|5
117|5
118|6
120|7
121|6
122|6
123|4
124|4
125|2
127|12
128|4
129|7
130|4
131|5
132|
133|2
134|5
135|2
138|4
140|7
141|20
142|5
143|5
145|4
146|4
147|4
148|12
149|4
151|5
152|2
153|
155|6
156|5
157|5
158|4
159|6
160|6
161|5
162|2
163|6
164|5
165|5
166|2
167|2
168|5
169|20
170|12
171|4
172|1
173|6
174|7
175|4
176|7
177|2
179|4
180|4
181|5
182|6
183|5
184|7
185|4
186|4
187|20
188|2
189|20
190|2
192|7
194|5
195|5
196|12
198|4
199|6
200|6
201|6
203|5
204|2
205|6
206|20
208|5
209|6
210|5
211|12
212|5
213|
214|2
215|6
216|4
217|20
218|2
219|4
220|6
221|7
222|5
223|6
224|6
225|6
226|6
227|4
228|7
229|4
230|5
231|4
232|6
233|4
234|2
235|6
236|7
237|20
238|5
239|7
240|20
241|20
242|7
243|2
244|6
245|6
246|5
247|5
248|4
249|2
250|2
251|6
252|1
253|5
254|20
255|4
256|5
257|6
258|2
260|4
261|6
262|5
263|5
264|4
265|6
266|5
267|2
268|6
269|2
270|7
271|5
272|12
274|5
275|5
276|2
277|4
278|6
279|4
280|5
281|6
282|2
283|5
284|5
285|6
286|5
287|1
288|4
289|12
290|6
291|4
292|6
293|6
294|4
295|7
296|5
297|6
299|4
300|20
301|4
302|2
303|5
304|4
305|4
306|6
307|6
308|5
309|20
310|7
311|4
312|4
313|1
314|2
315|5
316|2
319|5
320|4
321|13
323|6
324|6
326|6
327|6
328|2
329|2
330|2
331|2
332|5
333|
334|
335|20
336|6
337|4
338|6
339|6
340|5
341|5
342|20
343|5
344|7
345|2
346|4
347|6
348|5
349|6
350|12
351|7
352|6
353|4
355|4
356|20
357|12
358|2
359|5
361|6
362|5
364|12
365|12
366|7
367|5
368|12
369|5
370|5
371|
372|12
373|5
374|4
375|5
376|20
377|4
378|7
379|4
380|4
382|4
383|5
384|20
385|5
386|20
387|4
388|4
389|6
391|2
392|4
393|
394|2
395|20
396|5
397|5
399|5
400|4
401|4
402|5
403|2
404|5
405|4
406|2
407|2
408|4
409|2
410|7
411|2
412|6
413|
414|4
415|2
416|2
421|4
423|5
424|5
425|5
426|6
427|4
428|4
429|4
430|4
431|5
432|20
433|6
434|5
436|12
437|6
438|4
439|4
441|7
442|6
443|2
444|6
445|4
446|5
447|6
448|5
449|2
450|11
452|6
454|5
455|2
456|4
457|5
458|6
459|12
460|4
461|5
462|7
463|20
464|5
465|12
466|4
467|5
468|6
470|5
471|6
474|6
475|6
476|6
477|2
478|6
479|6
480|4
481|4
