ABASE ON-LINE|ZOETIS|ZOETIS ÉTICOS|CÓDIGO
SIM|SIM|SIM|6066
SIM|SIM|SIM|5593
NÃO|NÃO|NÃO|5589
SIM|SIM|NÃO|6640
SIM|SIM|NÃO|8538
SIM|SIM|NÃO|8222
SIM|SIM|NÃO|3438
SIM|SIM|SIM|1056
SIM|SIM|SIM|5160
SIM|SIM|NÃO|8025
SIM|SIM|SIM|514
SIM|SIM|NÃO|2503
SIM|SIM|SIM|4381
SIM|SIM|SIM|3992
SIM|SIM|NÃO|4873
SIM|SIM|NÃO|9300
SIM|SIM|SIM|2682
SIM|SIM|SIM|9246
SIM|SIM|NÃO|8646
NÃO|NÃO|NÃO|5936
SIM|SIM|NÃO|6614
SIM|SIM|NÃO|8024
SIM|SIM|NÃO|8772
SIM|SIM|NÃO|6361
NÃO|NÃO|NÃO|4848
NÃO|NÃO|NÃO|397
SIM|SIM|NÃO|7656
SIM|SIM|NÃO|6005
SIM|SIM|SIM|1946
SIM|SIM|NÃO|9294
SIM|SIM|NÃO|7389
SIM|SIM|NÃO|2434
SIM|SIM|SIM|2467
SIM|SIM|SIM|5826
SIM|SIM|SIM|2004
SIM|SIM|SIM|5657
SIM|SIM|SIM|177
SIM|SIM|SIM|7658
NÃO|NÃO|NÃO|6951
SIM|SIM|NÃO|599
SIM|SIM|NÃO|6367
SIM|SIM|SIM|7996
SIM|SIM|SIM|3979
SIM|SIM|NÃO|6368
SIM|SIM|NÃO|573
SIM|SIM|NÃO|2291
SIM|SIM|SIM|9089
NÃO|NÃO|NÃO|8168
SIM|SIM|NÃO|7265
SIM|SIM|NÃO|2143
SIM|SIM|NÃO|9162
SIM|SIM|NÃO|8880
SIM|SIM|SIM|5835
SIM|SIM|NÃO|10024
SIM|SIM|NÃO|1569
SIM|SIM|NÃO|3751
SIM|SIM|SIM|10007
SIM|SIM|NÃO|9648
SIM|SIM|SIM|374
SIM|SIM|NÃO|5201
SIM|SIM|NÃO|2388
SIM|SIM|NÃO|9655
SIM|SIM|SIM|8752
SIM|NÃO|SIM|4546
SIM|SIM|NÃO|5846
SIM|SIM|NÃO|174
SIM|SIM|NÃO|6028
SIM|SIM|NÃO|1623
SIM|SIM|SIM|5182
SIM|SIM|NÃO|8849
SIM|SIM|NÃO|9333
SIM|SIM|SIM|6452
SIM|SIM|NÃO|1644
SIM|SIM|NÃO|574
NÃO|NÃO|NÃO|5588
SIM|SIM|SIM|8914
NÃO|NÃO|NÃO|2393
SIM|SIM|NÃO|5675
SIM|SIM|NÃO|8497
SIM|SIM|NÃO|4713
SIM|SIM|NÃO|7660
SIM|SIM|NÃO|9372
SIM|SIM|NÃO|291
SIM|NÃO|NÃO|7757
NÃO|NÃO|NÃO|5958
SIM|SIM|NÃO|4729
NÃO|NÃO|NÃO|1772
SIM|SIM|NÃO|7329
SIM|SIM|NÃO|4292
SIM|SIM|NÃO|4370
SIM|SIM|NÃO|4267
SIM|NÃO|NÃO|9001
SIM|SIM|NÃO|5932
SIM|SIM|NÃO|5228
SIM|NÃO|NÃO|5969
NÃO|NÃO|NÃO|2260
NÃO|NÃO|NÃO|170
NÃO|NÃO|NÃO|173
NÃO|NÃO|NÃO|2052
SIM|SIM|SIM|3095
NÃO|NÃO|NÃO|9408
SIM|NÃO|NÃO|6099
SIM|SIM|NÃO|2475
SIM|NÃO|NÃO|326
SIM|SIM|NÃO|4037
NÃO|NÃO|NÃO|9947
SIM|SIM|NÃO|1704
SIM|NÃO|NÃO|4017
NÃO|NÃO|NÃO|9283
SIM|SIM|NÃO|5240
SIM|SIM|SIM|2135
SIM|NÃO|NÃO|2183
SIM|NÃO|NÃO|3966
NÃO|NÃO|NÃO|5913
SIM|SIM|NÃO|4904
NÃO|NÃO|NÃO|1972
SIM|SIM|NÃO|3970
NÃO|NÃO|NÃO|2938
NÃO|NÃO|NÃO|5288
SIM|SIM|NÃO|453
SIM|SIM|NÃO|1983
SIM|NÃO|NÃO|2975
NÃO|NÃO|NÃO|6078
SIM|NÃO|NÃO|6521
SIM|NÃO|NÃO|5960
SIM|SIM|NÃO|5013
SIM|NÃO|NÃO|3801
NÃO|NÃO|NÃO|2153
NÃO|NÃO|NÃO|3222
NÃO|NÃO|NÃO|5678
SIM|NÃO|NÃO|6530
NÃO|NÃO|NÃO|2101
NÃO|NÃO|NÃO|6459
NÃO|NÃO|NÃO|497
NÃO|NÃO|NÃO|7358
SIM|NÃO|NÃO|500
SIM|NÃO|NÃO|504
SIM|NÃO|NÃO|7873
NÃO|NÃO|NÃO|5012
SIM|NÃO|NÃO|5428
SIM|SIM|SIM|1920
SIM|SIM|SIM|5431
NÃO|NÃO|NÃO|8799
SIM|SIM|NÃO|1784
SIM|NÃO|NÃO|4938
SIM|SIM|NÃO|5213
SIM|NÃO|NÃO|609
SIM|NÃO|NÃO|8951
SIM|SIM|SIM|6791
SIM|NÃO|NÃO|3964
NÃO|NÃO|NÃO|7580
SIM|NÃO|NÃO|8819
SIM|SIM|SIM|630
NÃO|NÃO|NÃO|631
SIM|SIM|NÃO|7274
SIM|SIM|SIM|2840
SIM|SIM|SIM|4753
SIM|SIM|SIM|1049
NÃO|NÃO|NÃO|4829
SIM|NÃO|NÃO|647
NÃO|NÃO|NÃO|2148
NÃO|NÃO|NÃO|3527
SIM|NÃO|NÃO|5109
NÃO|NÃO|NÃO|2887
SIM|SIM|SIM|840
SIM|SIM|SIM|4422
NÃO|NÃO|NÃO|3217
SIM|SIM|NÃO|4113
SIM|NÃO|NÃO|2772
SIM|SIM|SIM|2675
SIM|NÃO|NÃO|669
SIM|SIM|NÃO|4376
NÃO|NÃO|NÃO|9988
SIM|SIM|NÃO|94
SIM|SIM|NÃO|5470
SIM|NÃO|NÃO|2671
NÃO|NÃO|NÃO|6488
SIM|NÃO|NÃO|689
SIM|SIM|NÃO|4800
SIM|SIM|NÃO|1561
SIM|NÃO|NÃO|758
SIM|NÃO|NÃO|2631
SIM|NÃO|NÃO|5570
NÃO|NÃO|NÃO|4420
NÃO|NÃO|NÃO|2053
SIM|NÃO|NÃO|2617
NÃO|NÃO|NÃO|960
SIM|NÃO|NÃO|7124
SIM|SIM|NÃO|808
SIM|SIM|NÃO|7963
SIM|SIM|NÃO|2352
NÃO|NÃO|NÃO|5135
SIM|SIM|NÃO|4237
NÃO|NÃO|NÃO|3073
NÃO|NÃO|NÃO|5597
SIM|SIM|NÃO|10004
SIM|NÃO|NÃO|1636
SIM|SIM|NÃO|2161
SIM|NÃO|NÃO|4778
NÃO|NÃO|NÃO|5111
SIM|SIM|SIM|2136
SIM|NÃO|NÃO|4568
NÃO|NÃO|NÃO|3152
NÃO|NÃO|NÃO|2865
NÃO|NÃO|NÃO|3861
NÃO|NÃO|NÃO|3862
NÃO|NÃO|NÃO|3214
SIM|NÃO|NÃO|5963
SIM|SIM|NÃO|3582
SIM|SIM|NÃO|5094
SIM|NÃO|NÃO|4101
SIM|NÃO|NÃO|1015
SIM|NÃO|NÃO|842
SIM|NÃO|NÃO|5992
SIM|SIM|SIM|3876
NÃO|NÃO|NÃO|3002
SIM|NÃO|NÃO|9920
SIM|SIM|NÃO|4234
SIM|SIM|SIM|2142
SIM|NÃO|NÃO|2070
NÃO|NÃO|NÃO|5341
NÃO|NÃO|NÃO|4244
SIM|NÃO|NÃO|4301
SIM|SIM|NÃO|6612
SIM|SIM|NÃO|1759
NÃO|NÃO|NÃO|2054
SIM|NÃO|NÃO|1205
SIM|NÃO|NÃO|2484
SIM|NÃO|NÃO|6014
SIM|SIM|NÃO|4555
NÃO|NÃO|NÃO|6931
SIM|SIM|NÃO|4338
SIM|SIM|SIM|1870
SIM|NÃO|NÃO|5544
NÃO|NÃO|NÃO|2395
SIM|SIM|SIM|2493
SIM|SIM|NÃO|6578
SIM|SIM|NÃO|7441
SIM|SIM|NÃO|9057
SIM|NÃO|NÃO|4677
NÃO|NÃO|NÃO|9976
SIM|NÃO|NÃO|1648
SIM|SIM|NÃO|8127
SIM|NÃO|NÃO|2577
NÃO|NÃO|NÃO|1251
SIM|SIM|SIM|2309
SIM|SIM|NÃO|5861
SIM|NÃO|NÃO|1260
SIM|NÃO|NÃO|1262
NÃO|NÃO|NÃO|8800
SIM|SIM|NÃO|2506
SIM|SIM|NÃO|2960
SIM|SIM|NÃO|6000
SIM|NÃO|NÃO|9921
SIM|SIM|NÃO|4586
NÃO|NÃO|NÃO|2314
SIM|NÃO|NÃO|1412
SIM|SIM|NÃO|10005
SIM|SIM|NÃO|6436
SIM|SIM|NÃO|3910
SIM|NÃO|NÃO|5454
NÃO|NÃO|NÃO|8801
SIM|SIM|NÃO|2237
NÃO|NÃO|NÃO|1468
SIM|SIM|NÃO|2784
NÃO|NÃO|NÃO|2156
SIM|NÃO|NÃO|5952
SIM|NÃO|NÃO|5585
SIM|SIM|NÃO|4820
NÃO|NÃO|NÃO|1544
SIM|SIM|NÃO|4276
NÃO|NÃO|NÃO|6937
SIM|SIM|SIM|6790
SIM|NÃO|NÃO|29
SIM|SIM|NÃO|8923
SIM|NÃO|NÃO|8948
SIM|NÃO|NÃO|8940
SIM|NÃO|NÃO|4267
SIM|NÃO|NÃO|6618
NÃO|NÃO|NÃO|8313
SIM|NÃO|NÃO|1409
SIM|NÃO|NÃO|6233
NÃO|NÃO|NÃO|138
SIM|NÃO|NÃO|9687
SIM|SIM|NÃO|9693
SIM|NÃO|NÃO|8950
NÃO|NÃO|NÃO|2791
SIM|NÃO|NÃO|4686
SIM|NÃO|NÃO|534
SIM|NÃO|NÃO|3571
SIM|SIM|SIM|2354
SIM|NÃO|NÃO|1979
SIM|SIM|NÃO|312
SIM|SIM|SIM|2272
SIM|NÃO|NÃO|319
SIM|NÃO|NÃO|1605
SIM|NÃO|NÃO|5334
NÃO|NÃO|NÃO|2128
SIM|SIM|SIM|754
SIM|SIM|SIM|1446
SIM|SIM|NÃO|8918
SIM|NÃO|NÃO|9496
SIM|SIM|SIM|459
SIM|SIM|SIM|7465
SIM|NÃO|NÃO|7834
SIM|NÃO|NÃO|5211
SIM|SIM|SIM|400
SIM|SIM|NÃO|9973
SIM|SIM|SIM|5208
SIM|NÃO|NÃO|3923
SIM|NÃO|NÃO|7599
SIM|NÃO|NÃO|3346
SIM|SIM|NÃO|3755
NÃO|NÃO|NÃO|8159
SIM|NÃO|NÃO|1483
SIM|SIM|NÃO|2081
SIM|SIM|NÃO|2473
SIM|SIM|NÃO|6480
SIM|SIM|NÃO|5040
SIM|NÃO|NÃO|5264
SIM|NÃO|NÃO|4471
NÃO|NÃO|NÃO|473
SIM|SIM|NÃO|1943
SIM|NÃO|NÃO|4449
SIM|NÃO|NÃO|5524
SIM|SIM|NÃO|1064
SIM|NÃO|NÃO|9835
SIM|NÃO|NÃO|9059
SIM|NÃO|NÃO|508
SIM|NÃO|NÃO|6608
SIM|SIM|NÃO|2202
SIM|NÃO|NÃO|4493
SIM|SIM|NÃO|9642
SIM|NÃO|NÃO|8952
SIM|SIM|SIM|6188
SIM|NÃO|NÃO|548
NÃO|NÃO|NÃO|6044
SIM|SIM|NÃO|8917
SIM|NÃO|NÃO|9127
SIM|NÃO|NÃO|9044
NÃO|NÃO|NÃO|607
NÃO|NÃO|NÃO|6806
SIM|NÃO|NÃO|1528
SIM|SIM|SIM|2760
SIM|NÃO|NÃO|3593
SIM|NÃO|NÃO|381
SIM|SIM|SIM|9414
SIM|NÃO|NÃO|8718
SIM|NÃO|NÃO|9392
SIM|SIM|NÃO|5064
SIM|NÃO|NÃO|3659
SIM|NÃO|NÃO|5970
SIM|SIM|SIM|2797
SIM|SIM|SIM|638
SIM|SIM|NÃO|6308
SIM|NÃO|NÃO|8936
SIM|NÃO|NÃO|9925
SIM|SIM|SIM|9697
SIM|NÃO|NÃO|9415
SIM|SIM|NÃO|9643
SIM|SIM|SIM|3616
SIM|NÃO|NÃO|8957
SIM|NÃO|NÃO|8109
SIM|SIM|SIM|2008
SIM|SIM|NÃO|2686
SIM|NÃO|NÃO|8106
SIM|SIM|SIM|7575
SIM|NÃO|NÃO|4784
SIM|NÃO|NÃO|4492
SIM|NÃO|NÃO|8706
SIM|SIM|NÃO|8134
NÃO|NÃO|NÃO|6670
NÃO|NÃO|NÃO|924
SIM|NÃO|NÃO|1500
SIM|NÃO|NÃO|5010
NÃO|NÃO|NÃO|5267
SIM|SIM|SIM|3360
SIM|NÃO|NÃO|3847
SIM|NÃO|NÃO|8949
NÃO|NÃO|NÃO|666
SIM|SIM|NÃO|8939
SIM|NÃO|NÃO|5205
SIM|SIM|SIM|685
SIM|NÃO|NÃO|834
SIM|SIM|SIM|724
SIM|SIM|NÃO|9937
SIM|NÃO|NÃO|8210
SIM|SIM|NÃO|3698
NÃO|NÃO|NÃO|6747
SIM|SIM|NÃO|9395
SIM|NÃO|NÃO|8389
SIM|NÃO|NÃO|594
NÃO|NÃO|NÃO|1344
NÃO|NÃO|NÃO|791
SIM|SIM|NÃO|9938
SIM|NÃO|NÃO|5640
SIM|NÃO|NÃO|5569
SIM|SIM|SIM|5695
SIM|SIM|NÃO|2980
SIM|SIM|NÃO|2152
SIM|NÃO|NÃO|7354
SIM|NÃO|NÃO|8202
SIM|NÃO|NÃO|7850
SIM|NÃO|NÃO|7900
SIM|SIM|NÃO|8926
SIM|SIM|NÃO|1111
NÃO|NÃO|NÃO|9644
SIM|SIM|SIM|2684
SIM|SIM|NÃO|719
SIM|NÃO|NÃO|8419
SIM|SIM|NÃO|9239
SIM|NÃO|NÃO|9476
SIM|NÃO|NÃO|3223
SIM|NÃO|NÃO|8297
SIM|NÃO|NÃO|852
SIM|SIM|NÃO|8916
SIM|SIM|SIM|1143
SIM|SIM|NÃO|7572
SIM|NÃO|NÃO|971
SIM|SIM|NÃO|8956
SIM|NÃO|NÃO|1343
SIM|SIM|SIM|2689
SIM|SIM|SIM|1683
SIM|SIM|SIM|9306
SIM|SIM|NÃO|5810
SIM|SIM|NÃO|9168
NÃO|NÃO|NÃO|1431
SIM|NÃO|NÃO|999
SIM|SIM|SIM|6553
NÃO|NÃO|NÃO|9086
SIM|NÃO|NÃO|1071
NÃO|NÃO|NÃO|1078
NÃO|NÃO|NÃO|1081
SIM|NÃO|NÃO|1084
NÃO|NÃO|NÃO|1094
SIM|SIM|NÃO|6059
NÃO|NÃO|NÃO|6700
NÃO|NÃO|NÃO|4289
SIM|NÃO|NÃO|6797
SIM|NÃO|NÃO|7484
SIM|SIM|NÃO|1026
SIM|NÃO|NÃO|4902
SIM|NÃO|NÃO|8903
SIM|NÃO|NÃO|946
SIM|NÃO|NÃO|5043
SIM|NÃO|NÃO|953
SIM|NÃO|NÃO|4982
SIM|NÃO|NÃO|9948
SIM|SIM|NÃO|6083
SIM|SIM|SIM|2238
NÃO|NÃO|NÃO|1101
SIM|SIM|SIM|1167
SIM|SIM|SIM|1183
SIM|SIM|SIM|1314
SIM|NÃO|NÃO|3548
SIM|SIM|SIM|1105
SIM|NÃO|NÃO|6704
SIM|NÃO|NÃO|3232
SIM|SIM|NÃO|2350
SIM|NÃO|NÃO|3789
SIM|NÃO|NÃO|1151
NÃO|NÃO|NÃO|1180
NÃO|NÃO|NÃO|8661
NÃO|NÃO|NÃO|5405
NÃO|NÃO|NÃO|5641
SIM|SIM|NÃO|3110
SIM|SIM|SIM|9640
SIM|NÃO|NÃO|7838
SIM|NÃO|NÃO|6882
SIM|NÃO|NÃO|2959
SIM|NÃO|NÃO|5313
SIM|NÃO|NÃO|9324
SIM|SIM|NÃO|3881
NÃO|NÃO|NÃO|6438
SIM|SIM|NÃO|1941
SIM|NÃO|NÃO|4188
SIM|SIM|SIM|5155
SIM|NÃO|NÃO|8750
SIM|NÃO|NÃO|1228
SIM|NÃO|NÃO|8280
SIM|SIM|SIM|3900
SIM|NÃO|NÃO|1252
SIM|NÃO|NÃO|8947
SIM|SIM|SIM|2279
SIM|SIM|SIM|1259
SIM|SIM|SIM|6038
SIM|NÃO|NÃO|8561
SIM|SIM|SIM|6363
SIM|SIM|NÃO|7851
SIM|SIM|SIM|1309
SIM|SIM|NÃO|5440
SIM|SIM|NÃO|6839
SIM|SIM|SIM|5147
SIM|NÃO|NÃO|10040
SIM|NÃO|NÃO|6838
SIM|NÃO|NÃO|1406
SIM|NÃO|NÃO|9790
SIM|SIM|SIM|6913
SIM|NÃO|NÃO|8609
NÃO|NÃO|NÃO|7974
SIM|SIM|NÃO|7999
SIM|SIM|SIM|1450
SIM|NÃO|NÃO|385
SIM|NÃO|NÃO|982
SIM|NÃO|NÃO|9262
SIM|SIM|NÃO|8937
SIM|SIM|SIM|6378
SIM|SIM|SIM|6490
SIM|NÃO|NÃO|4470
SIM|SIM|NÃO|2668
SIM|SIM|SIM|325
SIM|SIM|NÃO|3906
SIM|NÃO|NÃO|6703
SIM|NÃO|NÃO|315
SIM|SIM|NÃO|8123
NÃO|NÃO|NÃO|6532
SIM|SIM|SIM|4870
SIM|SIM|SIM|5229
SIM|NÃO|NÃO|8881
SIM|SIM|NÃO|2550
SIM|SIM|SIM|35
NÃO|NÃO|NÃO|1807
NÃO|NÃO|NÃO|4025
NÃO|NÃO|NÃO|8858
SIM|SIM|SIM|7694
SIM|SIM|SIM|9055
SIM|SIM|SIM|5565
SIM|SIM|SIM|6238
SIM|NÃO|NÃO|8244
SIM|SIM|NÃO|4179
SIM|SIM|NÃO|492
SIM|SIM|NÃO|4494
SIM|NÃO|NÃO|882
SIM|NÃO|NÃO|1247
SIM|NÃO|NÃO|1299
SIM|NÃO|NÃO|9080
SIM|SIM|NÃO|1420
SIM|SIM|SIM|1418
SIM|SIM|SIM|8699
SIM|SIM|SIM|5151
SIM|SIM|NÃO|4901
SIM|SIM|SIM|6444
SIM|SIM|SIM|6196
SIM|NÃO|NÃO|8292
NÃO|NÃO|NÃO|8634
SIM|SIM|SIM|1474
NÃO|NÃO|NÃO|3099
SIM|SIM|SIM|437
SIM|SIM|SIM|3075
SIM|SIM|SIM|354
SIM|SIM|SIM|2168
SIM|SIM|NÃO|8117
SIM|SIM|SIM|1171
SIM|SIM|NÃO|8233
SIM|NÃO|NÃO|3293
SIM|SIM|SIM|3103
SIM|NÃO|NÃO|7217
SIM|SIM|SIM|2481
SIM|SIM|SIM|2890
SIM|SIM|SIM|2247
NÃO|NÃO|NÃO|5697
SIM|SIM|SIM|2559
SIM|SIM|SIM|6258
SIM|SIM|SIM|2933
SIM|SIM|SIM|2227
SIM|SIM|SIM|7714
SIM|SIM|SIM|4378
NÃO|NÃO|NÃO|1208
SIM|SIM|SIM|8034
SIM|NÃO|NÃO|3675
SIM|SIM|NÃO|2012
SIM|SIM|SIM|7670
SIM|SIM|SIM|4348
SIM|NÃO|NÃO|117
SIM|SIM|SIM|2730
SIM|SIM|SIM|2240
SIM|SIM|SIM|4312
SIM|SIM|SIM|2010
SIM|SIM|SIM|3641
SIM|SIM|NÃO|3400
SIM|SIM|SIM|9085
SIM|NÃO|NÃO|5748
SIM|SIM|SIM|4319
SIM|SIM|NÃO|2117
SIM|SIM|SIM|2134
NÃO|NÃO|NÃO|4875
SIM|SIM|SIM|1836
SIM|NÃO|NÃO|1301
SIM|NÃO|NÃO|9864
SIM|NÃO|NÃO|43
SIM|NÃO|NÃO|9928
SIM|SIM|NÃO|2320
SIM|SIM|NÃO|3912
SIM|SIM|NÃO|2426
SIM|SIM|NÃO|2375
SIM|SIM|SIM|5262
SIM|NÃO|NÃO|860
SIM|SIM|SIM|6226
SIM|SIM|NÃO|4329
SIM|SIM|SIM|5972
SIM|SIM|NÃO|5471
SIM|SIM|SIM|4446
SIM|NÃO|NÃO|4092
SIM|SIM|SIM|1705
SIM|SIM|SIM|8166
SIM|SIM|SIM|9199
SIM|SIM|SIM|5661
SIM|SIM|SIM|8220
SIM|SIM|NÃO|1845
SIM|NÃO|NÃO|8630
SIM|SIM|NÃO|8638
SIM|SIM|SIM|3931
NÃO|NÃO|NÃO|6495
SIM|NÃO|NÃO|6318
SIM|SIM|SIM|5164
SIM|SIM|NÃO|616
SIM|SIM|NÃO|4310
SIM|NÃO|NÃO|8041
SIM|NÃO|NÃO|3674
SIM|NÃO|NÃO|1675
SIM|SIM|SIM|1598
NÃO|NÃO|NÃO|8989
SIM|SIM|SIM|3302
SIM|SIM|NÃO|3890
SIM|SIM|SIM|9883
SIM|SIM|SIM|1515
SIM|SIM|SIM|9103
SIM|SIM|SIM|2068
SIM|SIM|NÃO|1655
SIM|NÃO|NÃO|1041
NÃO|NÃO|NÃO|5746
NÃO|NÃO|NÃO|3612
SIM|NÃO|NÃO|3147
SIM|SIM|NÃO|8816
SIM|SIM|SIM|5219
SIM|SIM|SIM|7453
SIM|NÃO|NÃO|3767
SIM|SIM|SIM|2574
NÃO|NÃO|NÃO|9892
SIM|SIM|NÃO|2343
SIM|SIM|SIM|5022
SIM|NÃO|NÃO|5371
NÃO|NÃO|NÃO|1341
SIM|SIM|SIM|5731
SIM|SIM|SIM|2750
SIM|SIM|SIM|7906
SIM|SIM|NÃO|4701
SIM|SIM|SIM|3783
SIM|SIM|NÃO|2656
SIM|SIM|NÃO|4178
SIM|NÃO|NÃO|5411
SIM|SIM|NÃO|4534
SIM|NÃO|NÃO|6323
NÃO|NÃO|NÃO|3926
NÃO|NÃO|NÃO|4631
SIM|NÃO|NÃO|790
SIM|SIM|SIM|8673
SIM|NÃO|NÃO|5971
SIM|NÃO|NÃO|8636
NÃO|NÃO|NÃO|6191
SIM|NÃO|NÃO|7083
SIM|NÃO|NÃO|3383
SIM|NÃO|NÃO|5993
SIM|NÃO|NÃO|9145
SIM|NÃO|NÃO|828
SIM|SIM|SIM|1031
SIM|NÃO|NÃO|36
SIM|SIM|SIM|4548
SIM|NÃO|NÃO|3734
SIM|NÃO|NÃO|8635
SIM|SIM|SIM|4353
SIM|SIM|SIM|5031
SIM|SIM|SIM|5551
SIM|NÃO|NÃO|9200
SIM|SIM|SIM|6331
SIM|SIM|SIM|8705
SIM|NÃO|NÃO|3733
SIM|SIM|SIM|2892
SIM|SIM|NÃO|7720
SIM|SIM|SIM|4427
SIM|SIM|SIM|4290
SIM|SIM|SIM|635
NÃO|NÃO|NÃO|7591
SIM|SIM|SIM|5372
SIM|NÃO|NÃO|1323
SIM|NÃO|NÃO|4708
SIM|SIM|NÃO|1846
SIM|NÃO|NÃO|1939
SIM|SIM|NÃO|449
SIM|SIM|SIM|2385
SIM|SIM|SIM|2844
SIM|SIM|SIM|4780
SIM|SIM|SIM|464
SIM|NÃO|NÃO|5875
SIM|SIM|SIM|1947
SIM|SIM|SIM|1690
SIM|SIM|SIM|8214
SIM|SIM|SIM|2528
SIM|NÃO|NÃO|4049
SIM|SIM|NÃO|1968
SIM|SIM|NÃO|1948
SIM|NÃO|NÃO|3003
SIM|NÃO|NÃO|5281
SIM|NÃO|NÃO|3230
SIM|SIM|SIM|8408
SIM|NÃO|NÃO|5920
SIM|SIM|SIM|477
SIM|SIM|SIM|487
SIM|NÃO|NÃO|8558
NÃO|NÃO|NÃO|5629
NÃO|NÃO|NÃO|1496
SIM|SIM|NÃO|8662
SIM|NÃO|NÃO|4417
SIM|NÃO|NÃO|8424
SIM|SIM|NÃO|8906
SIM|NÃO|NÃO|1622
NÃO|NÃO|NÃO|1893
SIM|SIM|SIM|2435
SIM|SIM|NÃO|1848
SIM|SIM|SIM|7276
SIM|SIM|SIM|6848
SIM|SIM|SIM|2534
SIM|NÃO|NÃO|5150
SIM|SIM|NÃO|171
SIM|SIM|NÃO|5227
SIM|SIM|SIM|4275
SIM|SIM|SIM|9035
SIM|SIM|SIM|1872
SIM|NÃO|NÃO|1124
NÃO|NÃO|NÃO|582
NÃO|NÃO|NÃO|7046
SIM|SIM|SIM|5988
SIM|NÃO|NÃO|8620
SIM|SIM|SIM|9126
NÃO|NÃO|NÃO|9258
SIM|SIM|SIM|6357
NÃO|NÃO|NÃO|1511
SIM|NÃO|NÃO|8303
SIM|SIM|SIM|8503
SIM|SIM|NÃO|2526
SIM|SIM|SIM|1540
SIM|SIM|SIM|6237
SIM|NÃO|NÃO|5942
SIM|SIM|NÃO|5729
NÃO|NÃO|NÃO|2681
NÃO|NÃO|NÃO|7871
SIM|SIM|SIM|757
SIM|SIM|SIM|4956
SIM|SIM|SIM|2761
SIM|SIM|SIM|4220
SIM|SIM|SIM|5662
SIM|SIM|SIM|4520
SIM|SIM|NÃO|6047
SIM|SIM|NÃO|7543
SIM|SIM|SIM|2818
SIM|SIM|NÃO|6881
SIM|SIM|SIM|7173
SIM|SIM|NÃO|1207
SIM|SIM|NÃO|8569
SIM|SIM|SIM|3950
SIM|SIM|SIM|5774
SIM|SIM|NÃO|7464
SIM|SIM|NÃO|9203
SIM|SIM|NÃO|6247
SIM|SIM|NÃO|3472
SIM|SIM|NÃO|6983
SIM|SIM|NÃO|7581
SIM|SIM|NÃO|2739
SIM|SIM|NÃO|7517
SIM|SIM|SIM|6393
SIM|SIM|SIM|3827
SIM|SIM|NÃO|5359
SIM|SIM|SIM|9413
SIM|SIM|SIM|4642
SIM|SIM|NÃO|1711
SIM|SIM|SIM|3138
SIM|SIM|SIM|2888
SIM|SIM|NÃO|3617
SIM|SIM|NÃO|5220
SIM|SIM|SIM|2905
SIM|SIM|SIM|3192
SIM|SIM|NÃO|2906
SIM|SIM|SIM|8249
SIM|SIM|NÃO|6982
SIM|SIM|SIM|457
SIM|SIM|SIM|4501
SIM|SIM|NÃO|7941
SIM|SIM|NÃO|2286
SIM|SIM|SIM|7745
SIM|SIM|SIM|7032
SIM|SIM|SIM|3205
SIM|SIM|SIM|3041
SIM|SIM|NÃO|4196
SIM|SIM|SIM|6481
SIM|SIM|NÃO|4175
SIM|SIM|NÃO|6788
SIM|SIM|NÃO|2946
SIM|SIM|NÃO|458
SIM|SIM|SIM|851
SIM|SIM|NÃO|7903
SIM|SIM|NÃO|4008
SIM|SIM|NÃO|1493
SIM|SIM|SIM|5924
SIM|SIM|SIM|2836
SIM|SIM|SIM|847
SIM|SIM|NÃO|7291
SIM|SIM|SIM|4788
SIM|SIM|SIM|4813
SIM|SIM|NÃO|4167
SIM|SIM|NÃO|2838
SIM|SIM|NÃO|2093
SIM|SIM|NÃO|2624
SIM|SIM|NÃO|5455
SIM|SIM|NÃO|4502
SIM|SIM|SIM|7047
SIM|SIM|SIM|7298
SIM|SIM|NÃO|5002
SIM|SIM|SIM|7598
SIM|SIM|NÃO|6239
SIM|SIM|NÃO|5067
SIM|SIM|SIM|4721
SIM|SIM|NÃO|6609
SIM|SIM|SIM|2634
SIM|SIM|NÃO|2895
SIM|SIM|SIM|3961
SIM|SIM|NÃO|3359
SIM|SIM|NÃO|7468
SIM|SIM|SIM|2908
SIM|SIM|NÃO|6462
SIM|SIM|NÃO|4249
SIM|SIM|SIM|2948
SIM|SIM|SIM|2828
SIM|SIM|SIM|4385
SIM|SIM|NÃO|4499
SIM|SIM|NÃO|2144
SIM|SIM|NÃO|8521
SIM|SIM|NÃO|2597
SIM|SIM|SIM|1458
SIM|SIM|NÃO|7048
SIM|SIM|SIM|470
SIM|SIM|NÃO|2244
SIM|SIM|NÃO|9182
SIM|SIM|NÃO|5563
SIM|SIM|NÃO|2616
SIM|SIM|NÃO|6606
SIM|SIM|NÃO|7574
SIM|SIM|NÃO|6467
SIM|SIM|SIM|4185
SIM|SIM|SIM|6851
SIM|SIM|SIM|6298
SIM|SIM|NÃO|3930
SIM|SIM|SIM|9185
SIM|SIM|SIM|8185
SIM|SIM|SIM|6153
SIM|SIM|NÃO|7840
SIM|SIM|NÃO|3011
SIM|SIM|SIM|2837
SIM|SIM|NÃO|4559
SIM|SIM|NÃO|8757
SIM|SIM|SIM|3260
SIM|SIM|NÃO|1373
SIM|SIM|SIM|4130
SIM|SIM|SIM|598
