ABASE ON-LINE|ZOETIS|ZOETIS ÉTICOS|BAYER|CÓDIGO
SIM|SIM|NÃO|SIM|7104
SIM|SIM|SIM|SIM|7008
SIM|NÃO|NÃO|SIM|9218
SIM|SIM|SIM|SIM|6957
SIM|SIM|NÃO|SIM|8786
SIM|SIM|NÃO|SIM|7846
SIM|SIM|SIM|SIM|6757
SIM|SIM|NÃO|SIM|5577
SIM|SIM|NÃO|SIM|1573
SIM|SIM|SIM|SIM|6195
SIM|SIM|NÃO|SIM|6518
SIM|SIM|NÃO|SIM|8317
SIM|SIM|SIM|SIM|5806
SIM|SIM|NÃO|SIM|765
SIM|SIM|NÃO|SIM|9349
SIM|SIM|NÃO|SIM|3447
SIM|SIM|SIM|SIM|5945
SIM|SIM|SIM|SIM|6011
SIM|SIM|NÃO|SIM|7204
SIM|SIM|NÃO|SIM|5651
SIM|SIM|NÃO|SIM|7040
SIM|SIM|SIM|SIM|8392
SIM|SIM|SIM|SIM|6652
SIM|SIM|SIM|SIM|6994
SIM|SIM|NÃO|SIM|6960
SIM|SIM|NÃO|SIM|7041
SIM|SIM|NÃO|SIM|739
SIM|SIM|NÃO|SIM|7167
SIM|SIM|SIM|SIM|2955
NÃO|NÃO|NÃO|NÃO|5618
SIM|SIM|SIM|SIM|7314
SIM|SIM|SIM|SIM|838
SIM|SIM|SIM|SIM|2376
SIM|SIM|NÃO|SIM|8885
SIM|SIM|SIM|SIM|4337
SIM|SIM|SIM|SIM|2794
SIM|SIM|NÃO|SIM|8104
SIM|SIM|NÃO|SIM|8784
SIM|SIM|NÃO|SIM|703
SIM|SIM|NÃO|SIM|183
SIM|SIM|NÃO|SIM|8845
SIM|SIM|NÃO|SIM|6975
SIM|SIM|SIM|SIM|7327
SIM|SIM|SIM|SIM|2074
SIM|SIM|NÃO|SIM|7552
SIM|SIM|NÃO|SIM|3318
SIM|SIM|NÃO|SIM|7698
NÃO|NÃO|NÃO|NÃO|923
SIM|SIM|SIM|SIM|4066
SIM|SIM|NÃO|SIM|287
SIM|SIM|NÃO|SIM|709
SIM|SIM|NÃO|SIM|4777
SIM|SIM|SIM|SIM|2983
SIM|SIM|SIM|SIM|9243
SIM|SIM|NÃO|SIM|1484
SIM|SIM|NÃO|SIM|6948
SIM|SIM|NÃO|SIM|8840
SIM|SIM|SIM|SIM|7501
SIM|SIM|NÃO|SIM|7586
SIM|SIM|NÃO|SIM|7082
SIM|NÃO|NÃO|SIM|8241
SIM|SIM|NÃO|SIM|7554
SIM|SIM|SIM|SIM|986
SIM|NÃO|NÃO|SIM|9353
SIM|SIM|NÃO|SIM|6194
SIM|SIM|SIM|SIM|7383
SIM|SIM|SIM|SIM|4503
SIM|SIM|NÃO|SIM|1361
SIM|NÃO|NÃO|SIM|9217
SIM|SIM|NÃO|SIM|7225
SIM|SIM|NÃO|SIM|6803
SIM|SIM|SIM|SIM|7605
SIM|SIM|SIM|SIM|3224
SIM|SIM|SIM|SIM|7382
SIM|SIM|SIM|SIM|7916
SIM|SIM|NÃO|SIM|9915
SIM|SIM|NÃO|SIM|7259
SIM|SIM|NÃO|SIM|6909
SIM|SIM|NÃO|SIM|8580
SIM|SIM|NÃO|SIM|8717
SIM|SIM|SIM|SIM|7036
SIM|SIM|NÃO|SIM|6771
SIM|SIM|NÃO|SIM|6255
SIM|NÃO|NÃO|SIM|3628
SIM|SIM|SIM|SIM|7012
SIM|SIM|NÃO|SIM|983
SIM|SIM|SIM|SIM|7200
SIM|SIM|SIM|SIM|6973
SIM|SIM|SIM|SIM|2441
SIM|SIM|SIM|SIM|8326
SIM|SIM|SIM|SIM|6569
NÃO|NÃO|NÃO|NÃO|6647
SIM|SIM|NÃO|SIM|3762
SIM|SIM|SIM|SIM|5667
SIM|SIM|SIM|SIM|4431
NÃO|NÃO|NÃO|NÃO|6531
SIM|SIM|SIM|SIM|7073
SIM|SIM|NÃO|SIM|8584
SIM|SIM|SIM|SIM|3564
SIM|SIM|NÃO|SIM|3563
SIM|SIM|NÃO|SIM|4887
SIM|SIM|NÃO|SIM|5878
SIM|SIM|NÃO|SIM|7671
SIM|SIM|SIM|SIM|6305
SIM|SIM|NÃO|SIM|9123
SIM|SIM|SIM|SIM|4846
SIM|SIM|SIM|SIM|7266
SIM|SIM|SIM|SIM|6940
SIM|NÃO|NÃO|SIM|1408
SIM|SIM|NÃO|SIM|1303
SIM|SIM|NÃO|SIM|2050
SIM|SIM|SIM|SIM|7071
SIM|SIM|NÃO|SIM|7039
SIM|SIM|SIM|SIM|7101
SIM|SIM|NÃO|SIM|9916
SIM|NÃO|NÃO|SIM|6300
SIM|NÃO|NÃO|SIM|9216
SIM|SIM|NÃO|SIM|1555
SIM|SIM|NÃO|SIM|6547
SIM|SIM|NÃO|SIM|6224
SIM|SIM|NÃO|SIM|6693
SIM|SIM|NÃO|SIM|1434
SIM|SIM|SIM|SIM|7791
SIM|SIM|NÃO|SIM|4195
SIM|SIM|NÃO|SIM|7254
SIM|SIM|NÃO|SIM|6941
SIM|SIM|SIM|SIM|3305
SIM|SIM|NÃO|SIM|9507
SIM|SIM|NÃO|SIM|6557
SIM|SIM|NÃO|SIM|7317
SIM|SIM|NÃO|SIM|7697
SIM|SIM|NÃO|SIM|5895
SIM|SIM|SIM|SIM|7181
SIM|SIM|NÃO|SIM|8572
SIM|SIM|NÃO|SIM|6959
SIM|SIM|NÃO|SIM|6453
SIM|SIM|SIM|SIM|7661
SIM|SIM|SIM|SIM|4645
SIM|SIM|NÃO|SIM|6162
SIM|SIM|SIM|SIM|6088
SIM|SIM|NÃO|SIM|2348
NÃO|NÃO|NÃO|NÃO|6061
SIM|SIM|SIM|SIM|1790
SIM|SIM|SIM|SIM|5261
SIM|SIM|SIM|SIM|6172
SIM|SIM|NÃO|SIM|4483
SIM|SIM|NÃO|SIM|118
SIM|SIM|SIM|SIM|5171
SIM|SIM|NÃO|SIM|1176
SIM|NÃO|NÃO|SIM|2757
SIM|SIM|NÃO|SIM|6979
SIM|NÃO|NÃO|SIM|2018
SIM|SIM|NÃO|SIM|7230
SIM|SIM|SIM|SIM|7231
SIM|SIM|NÃO|SIM|7015
SIM|SIM|SIM|SIM|5800
SIM|SIM|NÃO|SIM|1359
SIM|SIM|SIM|SIM|605
NÃO|NÃO|NÃO|NÃO|1480
SIM|SIM|SIM|SIM|9097
SIM|SIM|SIM|SIM|4544
SIM|SIM|SIM|SIM|6942
SIM|SIM|SIM|SIM|5719
SIM|SIM|NÃO|SIM|6898
SIM|SIM|NÃO|SIM|3850
SIM|SIM|NÃO|SIM|7766
SIM|SIM|NÃO|SIM|7062
SIM|SIM|NÃO|SIM|6329
SIM|SIM|NÃO|SIM|7089
SIM|SIM|SIM|SIM|4045
SIM|SIM|SIM|SIM|6974
SIM|SIM|SIM|SIM|5169
SIM|SIM|NÃO|SIM|1305
SIM|SIM|NÃO|SIM|264
SIM|SIM|NÃO|SIM|6027
SIM|SIM|SIM|SIM|5073
SIM|SIM|NÃO|SIM|6996
SIM|SIM|NÃO|SIM|6971
SIM|SIM|NÃO|SIM|7432
SIM|NÃO|NÃO|SIM|8666
SIM|SIM|SIM|SIM|7350
SIM|SIM|NÃO|SIM|3701
SIM|SIM|SIM|SIM|9288
SIM|NÃO|NÃO|SIM|
SIM|SIM|NÃO|SIM|5292
SIM|SIM|NÃO|SIM|1921
NÃO|NÃO|NÃO|NÃO|5295
SIM|SIM|SIM|SIM|5726
SIM|SIM|NÃO|SIM|6142
SIM|SIM|NÃO|SIM|6200
SIM|SIM|NÃO|SIM|7246
NÃO|NÃO|NÃO|NÃO|2666
NÃO|NÃO|NÃO|NÃO|1695
SIM|SIM|NÃO|SIM|6837
SIM|SIM|NÃO|SIM|8031
NÃO|NÃO|NÃO|NÃO|9908
SIM|SIM|NÃO|SIM|3511
SIM|SIM|SIM|SIM|5709
SIM|SIM|NÃO|SIM|6883
SIM|SIM|SIM|SIM|8823
NÃO|NÃO|NÃO|NÃO|8665
SIM|SIM|SIM|SIM|9007
SIM|SIM|NÃO|SIM|4120
SIM|SIM|NÃO|SIM|5834
SIM|SIM|NÃO|SIM|1306
SIM|SIM|SIM|SIM|2051
NÃO|NÃO|NÃO|NÃO|5621
SIM|SIM|SIM|SIM|7312
SIM|SIM|NÃO|SIM|5636
SIM|SIM|SIM|SIM|5303
SIM|SIM|SIM|SIM|4693
SIM|SIM|SIM|SIM|7695
SIM|SIM|SIM|SIM|9198
SIM|SIM|NÃO|SIM|7399
SIM|SIM|NÃO|SIM|5065
SIM|SIM|NÃO|SIM|3371
SIM|SIM|NÃO|SIM|2141
SIM|SIM|SIM|SIM|5721
SIM|SIM|SIM|SIM|8443
SIM|SIM|NÃO|SIM|7551
SIM|SIM|SIM|SIM|8488
SIM|SIM|SIM|SIM|4050
SIM|SIM|NÃO|SIM|5610
SIM|SIM|NÃO|SIM|927
SIM|SIM|SIM|SIM|6635
SIM|SIM|NÃO|SIM|491
SIM|SIM|NÃO|SIM|2629
SIM|SIM|NÃO|SIM|6805
SIM|SIM|NÃO|SIM|3802
SIM|SIM|SIM|SIM|7649
SIM|SIM|SIM|SIM|9030
SIM|SIM|SIM|SIM|1945
NÃO|NÃO|NÃO|NÃO|5671
SIM|SIM|NÃO|SIM|8116
SIM|SIM|SIM|SIM|8579
SIM|SIM|SIM|SIM|2312
SIM|SIM|SIM|SIM|4705
SIM|SIM|SIM|SIM|8209
SIM|SIM|SIM|SIM|4908
SIM|SIM|SIM|SIM|4236
SIM|SIM|NÃO|SIM|1959
SIM|SIM|SIM|SIM|5310
SIM|SIM|NÃO|SIM|2219
SIM|SIM|NÃO|SIM|7706
SIM|SIM|SIM|SIM|4221
NÃO|NÃO|NÃO|NÃO|5218
SIM|SIM|NÃO|SIM|9018
SIM|SIM|SIM|SIM|2011
SIM|SIM|SIM|SIM|6129
SIM|SIM|SIM|SIM|3934
