status_allin|id_erp|grupo_restricao
1|1276|[abase-restric-o-de-vacinas]
0|5978|[abase-restric-o-de-vacinas]
1|8786|[abase-restric-o-de-vacinas]
1|1306|[abase-restric-o-de-vacinas]
1|1318|[abase-restric-o-de-vacinas]
1|1328|[abase-restric-o-de-vacinas]
1|1329|[abase-restric-o-de-vacinas]
1|1346|[abase-restric-o-de-vacinas]
1|8701|[abase-restric-o-de-vacinas]
1|1358|[abase-restric-o-de-vacinas]
1|1361|[abase-restric-o-de-vacinas]
1|5361|
1|1372|[abase-restric-o-de-vacinas]
1|1373|[abase-restric-o-de-vacinas]
1|1381|
1|1397|[abase-restric-o-de-vacinas]
1|1402|[abase-restric-o-de-vacinas]
0|1404|[abase-restric-o-de-vacinas]
1|1408|[abase-restric-o-de-vacinas]
1|1412|[abase-restric-o-de-vacinas]
1|1415|[abase-restric-o-de-vacinas]
1|1419|[abase-restric-o-de-vacinas]
0|1431|[abase-restric-o-de-vacinas]
0|7910|[abase-restric-o-de-vacinas]
1|1450|
1|1466|[abase-restric-o-de-vacinas]
0|1467|[abase-restric-o-de-vacinas]
0|1473|[abase-restric-o-de-vacinas]
1|1474|
1|1477|[abase-restric-o-de-vacinas]
1|1481|[abase-restric-o-de-vacinas]
1|1484|[abase-restric-o-de-vacinas]
1|1488|[abase-restric-o-de-vacinas]
1|1489|[abase-restric-o-de-vacinas]
1|1497|[abase-restric-o-de-vacinas]
1|1500|[abase-restric-o-de-vacinas]
1|1543|[abase-restric-o-de-vacinas]
0|1544|[abase-restric-o-de-vacinas]
0|5861|[abase-restric-o-de-vacinas]
1|1561|[abase-restric-o-de-vacinas]
0|5842|[abase-restric-o-de-vacinas]
1|1564|
1|1575|[abase-restric-o-de-vacinas]
0|1586|[abase-restric-o-de-vacinas]
1|1607|[abase-restric-o-de-vacinas]
1|1612|
1|1624|[abase-restric-o-de-vacinas]
1|1635|[abase-restric-o-de-vacinas]
1|1648|[abase-restric-o-de-vacinas]
1|1662|[abase-restric-o-de-vacinas]
1|2982|[abase-restric-o-de-vacinas]
1|1677|[abase-restric-o-de-vacinas]
1|1680|
1|1683|
1|1688|
1|4235|
1|1705|
1|1708|[abase-restric-o-de-vacinas]
1|1725|
1|1730|[abase-restric-o-de-vacinas]
1|1756|[abase-restric-o-de-vacinas]
1|1757|[abase-restric-o-de-vacinas]
1|1759|[abase-restric-o-de-vacinas]
1|1770|[abase-restric-o-de-vacinas]
0|1772|[abase-restric-o-de-vacinas]
1|1781|
1|1782|[abase-restric-o-de-vacinas]
1|1785|
1|1789|[abase-restric-o-de-vacinas]
1|1803|[abase-restric-o-de-vacinas]
1|1806|
0|1810|[abase-restric-o-de-vacinas]
1|1818|[abase-restric-o-de-vacinas]
1|1820|[abase-restric-o-de-vacinas]
0|8805|[abase-restric-o-de-vacinas]
0|1833|[abase-restric-o-de-vacinas]
1|1836|
1|1848|[abase-restric-o-de-vacinas]
1|1860|[abase-restric-o-de-vacinas]
0|5391|[abase-restric-o-de-vacinas]
1|2914|
0|1866|[abase-restric-o-de-vacinas]
1|1871|[abase-restric-o-de-vacinas]
